id,giocatore,squadra_prestante,squadra_ricevente,stato,data_inizio,data_fine,richiedente_terminazione,note,costo_prestito,tipo_prestito,crediti_riscatto
11,461,Diaolo Porco,Sborada,terminato,2025-09-01 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,,,,secco,
12,394,FC Pontos,Diablitos FC,terminato,2025-08-30 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,,,,secco,
2,152,Metodo Monchi FC,FC Sovescio,terminato,2026-01-22 18:16:11.551559+00:00,2026-06-30 12:00:00+00:00,,,,secco,
14,407,Metodo Monchi FC,CyberDucks,terminato,2025-09-02 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,,,,secco,
16,222,Sborada,Diaolo Porco,terminato,2025-09-01 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,,,,secco,
17,184,ZeroDayz FC,CyberDucks,terminato,2025-08-17 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,,,,secco,
9,330,Diablitos FC,FC Pontos,terminato,2025-08-11 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,,"- Costo prestito: 9cr (già scalati ad inizio anno)
- In caso di riscatto, la stagione successiva, Pontos FC dovrà pagare ulteriori 15cr a Diablitos FC",,diritto_di_riscatto,20.0
13,348,Metodo Monchi FC,ZeroDayz FC,terminato,2025-08-23 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,,,,diritto_di_riscatto,2.0
25,330,Diablitos FC,FC Pontos,in_corso,2026-08-22 14:20:05.216155+00:00,2027-07-01 23:59:59+00:00,,Accettiamo la condizione di richiamare il giocatore in qualsiasi momento,0.0,secco,0.0
26,171,Diablitos FC,FC Pontos,in_corso,2026-08-22 14:20:32.092416+00:00,2027-07-01 23:59:59+00:00,,Accettiamo la condizione di richiamare il giocatore in qualsiasi momento,0.0,secco,0.0
28,414,FC Pontos,Diablitos FC,in_corso,2026-08-22 14:28:42.963985+00:00,2027-07-01 23:59:59+00:00,,Accettiamo la condizione di richiamare il giocatore in qualsiasi momento,0.0,secco,0.0
27,120,FC Pontos,Diablitos FC,in_corso,2026-08-22 14:26:36.787985+00:00,2027-07-01 23:59:59+00:00,,Accettiamo la condizione di richiamare il giocatore in qualsiasi momento,0.0,secco,0.0
29,397,ZeroDayz FC,Diablitos FC,rifiutato,2026-08-22 14:43:01.099468+00:00,2027-07-01 23:59:59+00:00,,,0.0,secco,0.0
30,476,ZeroDayz FC,Diablitos FC,rifiutato,2026-08-22 15:18:58.995394+00:00,2027-07-01 23:59:59+00:00,,,0.0,secco,0.0
33,535,ZeroDayz FC,Sborada,in_corso,2026-08-31 00:15:20.347405+00:00,2027-07-01 23:59:59+00:00,,,0.0,secco,0.0
34,203,Sborada,ZeroDayz FC,in_corso,2026-08-31 00:15:20.347405+00:00,2027-07-01 23:59:59+00:00,,,0.0,secco,0.0
31,262,Metodo Monchi FC,Diaolo Porco,annullato,2026-08-24 23:21:55.614531+00:00,2027-07-01 23:59:59+00:00,,,0.0,secco,0.0
32,525,Diaolo Porco,Metodo Monchi FC,annullato,2026-08-24 23:21:55.614531+00:00,2027-07-01 23:59:59+00:00,,,0.0,secco,0.0
35,73,AC Ciaccati,Al-Colizzati,in_corso,2026-09-01 20:22:57.134394+00:00,2027-07-01 23:59:59+00:00,,,0.0,diritto_di_riscatto,15.0
36,517,Metodo Monchi FC,Diaolo Porco,in_corso,2026-09-01 21:12:12.103183+00:00,2027-07-01 23:59:59+00:00,,,0.0,secco,0.0
37,525,Diaolo Porco,Metodo Monchi FC,in_corso,2026-09-01 21:12:12.103183+00:00,2027-07-01 23:59:59+00:00,,,0.0,secco,0.0
38,152,Metodo Monchi FC,CyberDucks,in_corso,2026-09-02 14:22:10.832565+00:00,2027-07-01 23:59:59+00:00,,,0.0,diritto_di_riscatto,10.0
41,1008,Diablitos FC,FC Sovescio,in_corso,2026-09-04 17:35:01.523131+00:00,2027-07-01 23:59:59+00:00,,,0.0,secco,0.0
39,375,ZeroDayz FC,CyberDucks,in_corso,2026-09-04 10:16:01.368962+00:00,2027-07-01 23:59:59+00:00,,,0.0,secco,0.0
40,169,FC Sovescio,Diablitos FC,in_corso,2026-09-04 17:35:01.523131+00:00,2027-07-01 23:59:59+00:00,,,0.0,secco,0.0
