first_name,last_name,name,last_season,player_code,country_of_birth,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,image_url,international_caps,international_goals,url,current_club_name,market_value_in_eur,highest_market_value_in_eur
Samuele,Birindelli,Samuele Birindelli,2024,samuele-birindelli,Italy,1999-07-19 00:00:00,Right-Back,Defender,right,176.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/461019-1613547152.jpg?lm=1,1.0,0.0,https://www.transfermarkt.co.uk/samuele-birindelli/profil/spieler/461019,AC Monza,2500000.0,3500000.0
Andrea,Carboni,Andrea Carboni,2024,andrea-carboni,Italy,2001-02-04 00:00:00,Centre-Back,Defender,left,187.0,2029-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/481834-1730125183.jpg?lm=1,2.0,0.0,https://www.transfermarkt.co.uk/andrea-carboni/profil/spieler/481834,AC Monza,2500000.0,5000000.0
Giorgio,Cittadini,Giorgio Cittadini,2023,giorgio-cittadini,Italy,2002-04-18 00:00:00,Centre-Back,Defender,right,193.0,2025-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/616628-1664874587.png?lm=1,,,https://www.transfermarkt.co.uk/giorgio-cittadini/profil/spieler/616628,AC Monza,2400000.0,3000000.0
Omari,Forson,Omari Forson,2024,omari-forson,England,2004-07-20 00:00:00,Right Winger,Attack,left,179.0,2028-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/670845-1722327564.jpg?lm=1,2.0,0.0,https://www.transfermarkt.co.uk/omari-forson/profil/spieler/670845,AC Monza,2000000.0,2000000.0
Agustín,Álvarez,Agustín Álvarez,2025,agustin-alvarez,Uruguay,2001-05-19 00:00:00,Centre-Forward,Attack,right,177.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/812625-1704205457.jpg?lm=1,6.0,1.0,https://www.transfermarkt.co.uk/agustin-alvarez/profil/spieler/812625,AC Monza,2000000.0,8500000.0
Kevin,Zeroli,Kevin Zeroli,2024,kevin-zeroli,Italy,2005-01-11 00:00:00,Central Midfield,Midfield,right,187.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/883349-1696430935.jpg?lm=1,1.0,0.0,https://www.transfermarkt.co.uk/kevin-zeroli/profil/spieler/883349,AC Monza,2000000.0,2000000.0
Valentin,Antov,Valentin Antov,2025,valentin-antov,Bulgaria,2000-11-09 00:00:00,Centre-Back,Defender,right,187.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/227347-1692964215.jpg?lm=1,33.0,2.0,https://www.transfermarkt.co.uk/valentin-antov/profil/spieler/227347,AC Monza,1500000.0,2500000.0
Armando,Izzo,Armando Izzo,2024,armando-izzo,Italy,1992-03-02 00:00:00,Centre-Back,Defender,right,183.0,2028-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/32113-1770426329.jpg?lm=1,3.0,0.0,https://www.transfermarkt.co.uk/armando-izzo/profil/spieler/32113,AC Monza,1300000.0,25000000.0
Stefano,Sensi,Stefano Sensi,2024,stefano-sensi,Italy,1995-08-05 00:00:00,Central Midfield,Midfield,right,168.0,2027-05-31 00:00:00,https://img.a.transfermarkt.technology/portrait/header/216179-1692962617.jpg?lm=1,9.0,3.0,https://www.transfermarkt.co.uk/stefano-sensi/profil/spieler/216179,AC Monza,1200000.0,30000000.0
Patrick,Ciurria,Patrick Ciurria,2024,patrick-ciurria,Italy,1995-02-09 00:00:00,Right Midfield,Midfield,both,178.0,2028-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/255838-1695030937.jpg?lm=1,3.0,0.0,https://www.transfermarkt.co.uk/patrick-ciurria/profil/spieler/255838,AC Monza,1000000.0,5000000.0
Pepín,Machín,Pepín Machín,2024,pepin-machin,Equatorial Guinea,1996-08-14 00:00:00,Attacking Midfield,Midfield,right,184.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/355104-1663658789.jpg?lm=1,36.0,0.0,https://www.transfermarkt.co.uk/pepin-machin/profil/spieler/355104,AC Monza,1000000.0,2600000.0
Keita,Baldé,Keita Baldé,2024,keita-balde,Spain,1995-03-08 00:00:00,Left Winger,Attack,both,178.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/238752-1726065554.png?lm=1,40.0,6.0,https://www.transfermarkt.co.uk/keita-balde/profil/spieler/238752,AC Monza,900000.0,30000000.0
Semuel,Pizzignacco,Semuel Pizzignacco,2024,semuel-pizzignacco,Italy,2001-09-01 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/537171-1725530533.jpg?lm=1,0.0,0.0,https://www.transfermarkt.co.uk/semuel-pizzignacco/profil/spieler/537171,AC Monza,750000.0,800000.0
Danilo,D'Ambrosio,Danilo D'Ambrosio,2024,danilo-dambrosio,Italy,1988-09-09 00:00:00,Centre-Back,Defender,right,180.0,,https://img.a.transfermarkt.technology/portrait/header/55769-1595925735.jpg?lm=1,6.0,0.0,https://www.transfermarkt.co.uk/danilo-dambrosio/profil/spieler/55769,AC Monza,700000.0,13000000.0
Mattia,Valoti,Mattia Valoti,2024,mattia-valoti,Italy,1993-09-06 00:00:00,Central Midfield,Midfield,right,187.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/167741-1663659383.jpg?lm=1,2.0,0.0,https://www.transfermarkt.co.uk/mattia-valoti/profil/spieler/167741,AC Monza,600000.0,2500000.0
Andrea,Petagna,Andrea Petagna,2024,andrea-petagna,Italy,1995-06-30 00:00:00,Centre-Forward,Attack,left,190.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/199258-1660297353.jpg?lm=1,1.0,0.0,https://www.transfermarkt.co.uk/andrea-petagna/profil/spieler/199258,AC Monza,500000.0,20000000.0
Mirko,Marić,Mirko Marić,2024,mirko-maric,Bosnia-Herzegovina,1995-05-16 00:00:00,Centre-Forward,Attack,left,188.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/215649-1661764396.jpg?lm=1,2.0,0.0,https://www.transfermarkt.co.uk/mirko-maric/profil/spieler/215649,AC Monza,500000.0,4500000.0
Stefano,Gori,Stefano Gori,2023,stefano-gori,Italy,1996-03-09 00:00:00,Goalkeeper,Goalkeeper,right,185.0,2025-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/244491-1602072798.jpg?lm=1,,,https://www.transfermarkt.co.uk/stefano-gori/profil/spieler/244491,AC Monza,500000.0,2300000.0
Alessandro,Sorrentino,Alessandro Sorrentino,2024,alessandro-sorrentino,Italy,2002-04-03 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/542588-1657778358.jpg?lm=1,1.0,0.0,https://www.transfermarkt.co.uk/alessandro-sorrentino/profil/spieler/542588,AC Monza,450000.0,800000.0
Luca,Caldirola,Luca Caldirola,2024,luca-caldirola,Italy,1991-02-01 00:00:00,Centre-Back,Defender,left,186.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/88680-1712508051.jpg?lm=1,31.0,1.0,https://www.transfermarkt.co.uk/luca-caldirola/profil/spieler/88680,AC Monza,400000.0,4000000.0
Leonardo,Colombo,Leonardo Colombo,2024,leonardo-colombo,Italy,2005-06-04 00:00:00,Defensive Midfield,Midfield,right,179.0,2029-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/891869-1673249187.jpg?lm=1,2.0,0.0,https://www.transfermarkt.co.uk/leonardo-colombo/profil/spieler/891869,AC Monza,400000.0,400000.0
Nicolò,Postiglione,Nicolò Postiglione,2024,nicolo-postiglione,,2005-04-16 00:00:00,Centre-Back,Defender,right,190.0,2030-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/901027-1730706813.jpg?lm=1,1.0,1.0,https://www.transfermarkt.co.uk/nicolo-postiglione/profil/spieler/901027,AC Monza,400000.0,400000.0
Alessandro,Berretta,Alessandro Berretta,2024,alessandro-berretta,,2006-07-01 00:00:00,Central Midfield,Midfield,,186.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/898356-1712039419.jpg?lm=1,3.0,0.0,https://www.transfermarkt.co.uk/alessandro-berretta/profil/spieler/898356,AC Monza,350000.0,350000.0
Giulio,Donati,Giulio Donati,2023,giulio-donati,Italy,1990-02-05 00:00:00,Right-Back,Defender,right,178.0,,https://img.a.transfermarkt.technology/portrait/header/88684-1661763281.jpg?lm=1,,,https://www.transfermarkt.co.uk/giulio-donati/profil/spieler/88684,AC Monza,300000.0,5000000.0
Davide,Bettella,Davide Bettella,2024,davide-bettella,Italy,2000-04-07 00:00:00,Centre-Back,Defender,right,185.0,2028-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/357995-1695107780.jpg?lm=1,3.0,0.0,https://www.transfermarkt.co.uk/davide-bettella/profil/spieler/357995,AC Monza,300000.0,4000000.0
Andrea,Ferraris,Andrea Ferraris,2023,andrea-ferraris,Italy,2003-02-22 00:00:00,Left Winger,Attack,right,,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/708079-1704955519.jpg?lm=1,,,https://www.transfermarkt.co.uk/andrea-ferraris/profil/spieler/708079,AC Monza,200000.0,200000.0
Marco,D'Alessandro,Marco D'Alessandro,2024,marco-dalessandro,Italy,1991-02-17 00:00:00,Right Winger,Attack,right,173.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/99232-1595930106.jpg?lm=1,10.0,0.0,https://www.transfermarkt.co.uk/marco-dalessandro/profil/spieler/99232,AC Monza,175000.0,2500000.0
Eugenio,Lamanna,Eugenio Lamanna,2023,eugenio-lamanna,Italy,1989-08-07 00:00:00,Goalkeeper,Goalkeeper,right,187.0,,https://img.a.transfermarkt.technology/portrait/header/85240-1661763821.jpg?lm=1,,,https://www.transfermarkt.co.uk/eugenio-lamanna/profil/spieler/85240,AC Monza,100000.0,2500000.0
Andrea,Mazza,Andrea Mazza,2024,andrea-mazza,Italy,2004-03-19 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/815567-1707727257.jpg?lm=1,,,https://www.transfermarkt.co.uk/andrea-mazza/profil/spieler/815567,AC Monza,75000.0,75000.0
Davide,Bifulco,Davide Bifulco,2024,davide-bifulco,Italy,2006-01-04 00:00:00,Goalkeeper,Goalkeeper,right,,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,https://www.transfermarkt.co.uk/davide-bifulco/profil/spieler/1049864,AC Monza,50000.0,50000.0
Endris,Scaramelli,Endris Scaramelli,2024,endris-scaramelli,Ethiopia,2006-09-19 00:00:00,Right Midfield,Midfield,right,,,https://img.a.transfermarkt.technology/portrait/header/964239-1730124080.jpg?lm=1,,,https://www.transfermarkt.co.uk/endris-scaramelli/profil/spieler/964239,AC Monza,25000.0,25000.0
Kevin,Martins,Kevin Martins,2024,kevin-martins,Italy,2005-01-31 00:00:00,Right Winger,Attack,right,180.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/724069-1739282665.jpg?lm=1,3.0,1.0,https://www.transfermarkt.co.uk/kevin-martins/profil/spieler/724069,AC Monza,,
Andrea,Vailati,Andrea Vailati,2024,andrea-vailati,,2007-08-04 00:00:00,Goalkeeper,Goalkeeper,,,,https://img.a.transfermarkt.technology/portrait/header/1063226-1730123973.jpg?lm=1,,,https://www.transfermarkt.co.uk/andrea-vailati/profil/spieler/1063226,AC Monza,,
Lukas,Haraslin,Lukas Haraslin,2025,lukas-haraslin,Slovakia,1996-05-26 00:00:00,Left Winger,Attack,right,182.0,,https://img.a.transfermarkt.technology/portrait/header/239941-1708672053.jpg?lm=1,52.0,9.0,https://www.transfermarkt.co.uk/lukas-haraslin/profil/spieler/239941,"AC Sparta Praha, a. s.",6000000.0,7500000.0
Magnus Kofod,Andersen,Magnus Kofod Andersen,2025,magnus-kofod-andersen,Denmark,1999-05-10 00:00:00,Central Midfield,Midfield,right,170.0,2028-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/488784-1730186233.jpg?lm=1,0.0,0.0,https://www.transfermarkt.co.uk/magnus-kofod-andersen/profil/spieler/488784,"AC Sparta Praha, a. s.",1300000.0,3500000.0
Takehiro,Tomiyasu,Takehiro Tomiyasu,2025,takehiro-tomiyasu,Japan,1998-11-05 00:00:00,Centre-Back,Defender,right,187.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/331560-1682591217.jpg?lm=1,45.0,1.0,https://www.transfermarkt.co.uk/takehiro-tomiyasu/profil/spieler/331560,AFC Ajax Amsterdam,5000000.0,35000000.0
Davy,Klaassen,Davy Klaassen,2025,davy-klaassen,Netherlands,1993-02-21 00:00:00,Central Midfield,Midfield,right,179.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/182932-1726562366.jpg?lm=1,41.0,10.0,https://www.transfermarkt.co.uk/davy-klaassen/profil/spieler/182932,AFC Ajax Amsterdam,2000000.0,22000000.0
Douglas,Santos,Douglas Santos,2025,douglas-santos,Brazil,1994-03-22 00:00:00,Left-Back,Defender,left,173.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/220793-1756746479.png?lm=1,10.0,0.0,https://www.transfermarkt.co.uk/douglas-santos/profil/spieler/220793,AO FK Zenit Sankt-Peterburg,7500000.0,18000000.0
Christos,Papadopoulos,Christos Papadopoulos,2025,christos-papadopoulos,Greece,2004-11-01 00:00:00,Attacking Midfield,Midfield,left,188.0,2030-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/940135-1777757298.png?lm=1,2.0,0.0,https://www.transfermarkt.co.uk/christos-papadopoulos/profil/spieler/940135,APO Levadiakos Football Club,600000.0,800000.0
Hördur,Magnússon,Hördur Magnússon,2025,hordur-magnusson,Iceland,1993-02-11 00:00:00,Centre-Back,Defender,left,191.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/130353-1777756482.png?lm=1,54.0,2.0,https://www.transfermarkt.co.uk/hordur-magnusson/profil/spieler/130353,APO Levadiakos Football Club,450000.0,5000000.0
Diego,Valencia,Diego Valencia,2023,diego-valencia,Chile,2000-01-14 00:00:00,Centre-Forward,Attack,right,185.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/491648-1653650615.png?lm=1,,,https://www.transfermarkt.co.uk/diego-valencia/profil/spieler/491648,APS Atromitos Athinon,1500000.0,2500000.0
Wajdi,Kechrida,Wajdi Kechrida,2023,wajdi-kechrida,France,1995-11-05 00:00:00,Right-Back,Defender,right,177.0,,https://img.a.transfermarkt.technology/portrait/header/407885-1673442228.jpg?lm=1,,,https://www.transfermarkt.co.uk/wajdi-kechrida/profil/spieler/407885,APS Atromitos Athinon,700000.0,1500000.0
Gabriele,Marchegiani,Gabriele Marchegiani,2023,gabriele-marchegiani,Italy,1996-06-03 00:00:00,Goalkeeper,Goalkeeper,right,189.0,2025-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/250937-1636555679.png?lm=1,,,https://www.transfermarkt.co.uk/gabriele-marchegiani/profil/spieler/250937,APS Atromitos Athinon,250000.0,300000.0
Lucas,Piazón,Lucas Piazón,2024,lucas-piazon,Brazil,1994-01-20 00:00:00,Defensive Midfield,Midfield,right,182.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/176485-1729962489.jpg?lm=1,2.0,1.0,https://www.transfermarkt.co.uk/lucas-piazon/profil/spieler/176485,AVS Futebol SAD,300000.0,7500000.0
Jorge,Teixeira,Jorge Teixeira,2024,jorge-teixeira,Portugal,1986-08-27 00:00:00,Centre-Back,Defender,right,188.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/59791-1612084164.jpg?lm=1,,,https://www.transfermarkt.co.uk/jorge-teixeira/profil/spieler/59791,AVS Futebol SAD,100000.0,2000000.0
,Nenê,Nenê,2025,nene,Brazil,1983-07-28 00:00:00,Centre-Forward,Attack,right,183.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/45717-1537365392.jpg?lm=1,,,https://www.transfermarkt.co.uk/nene/profil/spieler/45717,AVS Futebol SAD,50000.0,6000000.0
Marko,Lazetić,Marko Lazetić,2025,marko-lazetic,Serbia and Montenegro,2004-01-22 00:00:00,Centre-Forward,Attack,right,192.0,2029-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/698548-1665512796.jpg?lm=1,10.0,0.0,https://www.transfermarkt.co.uk/marko-lazetic/profil/spieler/698548,Aberdeen Football Club,1000000.0,3000000.0
Andreaw,Gravillon,Andreaw Gravillon,2024,andreaw-gravillon,Guadeloupe,1998-02-08 00:00:00,Centre-Back,Defender,right,189.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/395083-1770514524.jpg?lm=1,19.0,2.0,https://www.transfermarkt.co.uk/andreaw-gravillon/profil/spieler/395083,Adana Demirspor,1000000.0,7000000.0
,Anselmo,Anselmo,2025,anselmo,Brazil,1989-02-20 00:00:00,Attacking Midfield,Midfield,right,182.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/114341-1685528539.JPG?lm=1,5.0,0.0,https://www.transfermarkt.co.uk/anselmo/profil/spieler/114341,Adelaide United Football Club,100000.0,2000000.0
Kristijan,Bistrovic,Kristijan Bistrovic,2025,kristijan-bistrovic,Croatia,1998-04-09 00:00:00,Central Midfield,Midfield,right,183.0,2028-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/375857-1757605735.png?lm=1,18.0,4.0,https://www.transfermarkt.co.uk/kristijan-bistrovic/profil/spieler/375857,Akron Togliatti,1500000.0,3500000.0
Roger,Ibañez,Roger Ibañez,2025,roger-ibanez,Brazil,1998-11-23 00:00:00,Centre-Back,Defender,right,186.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/524481-1663581987.jpg?lm=1,8.0,0.0,https://www.transfermarkt.co.uk/roger-ibanez/profil/spieler/524481,Al-Ahli Saudi Football Club,18000000.0,30000000.0
Franck,Kessié,Franck Kessié,2025,franck-kessie,Cote d'Ivoire,1996-12-19 00:00:00,Central Midfield,Midfield,right,183.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/294808-1749205138.jpg?lm=1,103.0,15.0,https://www.transfermarkt.co.uk/franck-kessie/profil/spieler/294808,Al-Ahli Saudi Football Club,12000000.0,55000000.0
Merih,Demiral,Merih Demiral,2025,merih-demiral,Türkiye,1998-03-05 00:00:00,Centre-Back,Defender,right,190.0,2029-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/340879-1766088053.jpeg?lm=1,65.0,6.0,https://www.transfermarkt.co.uk/merih-demiral/profil/spieler/340879,Al-Ahli Saudi Football Club,12000000.0,30000000.0
Ondrej,Duda,Ondrej Duda,2025,ondrej-duda,Slovakia,1994-12-05 00:00:00,Central Midfield,Midfield,right,180.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/232418-1716967836.jpg?lm=1,94.0,16.0,https://www.transfermarkt.co.uk/ondrej-duda/profil/spieler/232418,Al-Ettifaq Football Club,3000000.0,17000000.0
Jack,Hendry,Jack Hendry,2025,jack-hendry,Scotland,1995-05-07 00:00:00,Centre-Back,Defender,right,192.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/363223-1716378264.jpg?lm=1,41.0,3.0,https://www.transfermarkt.co.uk/jack-hendry/profil/spieler/363223,Al-Ettifaq Football Club,2500000.0,6000000.0
João,Costa,João Costa,2025,joao-costa,Brazil,2005-03-28 00:00:00,Right Winger,Attack,left,178.0,2028-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/936536-1696834132.jpg?lm=1,2.0,0.0,https://www.transfermarkt.co.uk/joao-costa/profil/spieler/936536,Al-Ettifaq Football Club,2500000.0,2800000.0
Georginio,Wijnaldum,Georginio Wijnaldum,2025,georginio-wijnaldum,Netherlands,1990-11-11 00:00:00,Central Midfield,Midfield,right,175.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/49499-1686738263.jpg?lm=1,96.0,28.0,https://www.transfermarkt.co.uk/georginio-wijnaldum/profil/spieler/49499,Al-Ettifaq Football Club,2200000.0,50000000.0
Chris,Smalling,Chris Smalling,2025,chris-smalling,England,1989-11-22 00:00:00,Centre-Back,Defender,right,194.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/103427-1765232730.png?lm=1,31.0,1.0,https://www.transfermarkt.co.uk/chris-smalling/profil/spieler/103427,Al-Fayha FC,1000000.0,20000000.0
Silvere,Ganvoula,Silvere Ganvoula,2025,silvere-ganvoula,Congo,1996-06-29 00:00:00,Centre-Forward,Attack,right,191.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/312819-1765233556.png?lm=1,28.0,5.0,https://www.transfermarkt.co.uk/silvere-ganvoula/profil/spieler/312819,Al-Fayha FC,900000.0,2500000.0
Theo,Hernández,Theo Hernández,2025,theo-hernandez,France,1997-10-06 00:00:00,Left-Back,Defender,left,184.0,2028-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/339808-1725532072.jpg?lm=1,45.0,2.0,https://www.transfermarkt.co.uk/theo-hernandez/profil/spieler/339808,Al-Hilal Saudi Football Club,20000000.0,60000000.0
Sergej,Milinković-Savić,Sergej Milinković-Savić,2025,sergej-milinkovic-savic,Spain,1995-02-27 00:00:00,Central Midfield,Midfield,right,192.0,2028-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/266302-1697051652.png?lm=1,56.0,9.0,https://www.transfermarkt.co.uk/sergej-milinkovic-savic/profil/spieler/266302,Al-Hilal Saudi Football Club,12000000.0,90000000.0
Kalidou,Koulibaly,Kalidou Koulibaly,2025,kalidou-koulibaly,France,1991-06-20 00:00:00,Centre-Back,Defender,right,186.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/93128-1697050549.png?lm=1,105.0,2.0,https://www.transfermarkt.co.uk/kalidou-koulibaly/profil/spieler/93128,Al-Hilal Saudi Football Club,4500000.0,75000000.0
Pablo,Marí,Pablo Marí,2025,pablo-mari,Spain,1993-08-31 00:00:00,Centre-Back,Defender,left,193.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/210178-1739282325.jpg?lm=1,,,https://www.transfermarkt.co.uk/pablo-mari/profil/spieler/210178,Al-Hilal Saudi Football Club,2000000.0,7000000.0
Moussa,Diaby,Moussa Diaby,2025,moussa-diaby,France,1999-07-07 00:00:00,Right Winger,Attack,left,170.0,2029-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/395516-1642608355.jpg?lm=1,11.0,0.0,https://www.transfermarkt.co.uk/moussa-diaby/profil/spieler/395516,Al-Ittihad Football Club,25000000.0,60000000.0
Jan-Carlo,Simić,Jan-Carlo Simić,2025,jan-carlo-simic,Germany,2005-05-02 00:00:00,Centre-Back,Defender,right,186.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/800948-1716239984.jpg?lm=1,6.0,0.0,https://www.transfermarkt.co.uk/jan-carlo-simic/profil/spieler/800948,Al-Ittihad Football Club,12000000.0,12000000.0
Houssem,Aouar,Houssem Aouar,2025,houssem-aouar,France,1998-06-30 00:00:00,Attacking Midfield,Midfield,right,175.0,2028-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/395693-1695025633.jpg?lm=1,22.0,6.0,https://www.transfermarkt.co.uk/houssem-aouar/profil/spieler/395693,Al-Ittihad Football Club,8000000.0,55000000.0
