id,nome,squadra_att,detentore_cartellino,club,quot_att_mantra,tipo_contratto,ruolo,costo,priorita,id_transfermarkt,data_nascita,scadenza_contratto
1033,Kessiè,Svincolato,Svincolato,Atalanta,12,Svincolato,{C},0,1,294808.0,1996-12-19,2029-06-30
926,Alajbegovic,Svincolato,Svincolato,Juventus,11,Svincolato,"{W,T}",0,1,929994.0,2007-09-21,2031-06-30
1021,Maye,Svincolato,Svincolato,Monza,1,Svincolato,"{Ds,Dc}",0,1,1041129.0,2006-03-21,2027-06-30
1035,Drobnic,Svincolato,Svincolato,Parma,2,Svincolato,{Dc},0,1,1009616.0,2007-04-05,
1026,Kambwala,Svincolato,Svincolato,Como,4,Svincolato,"{Dd,Dc}",0,1,780630.0,2004-08-25,2027-06-30
917,Alhassane,Svincolato,Svincolato,Bologna,2,Svincolato,"{Ds,E}",0,1,929899.0,2002-01-01,2030-06-30
927,Puczka,Svincolato,Svincolato,Genoa,2,Svincolato,"{Ds,E}",0,1,715894.0,2005-01-26,2031-06-30
930,Bakoune,Svincolato,Svincolato,Monza,2,Svincolato,"{Dd,E}",0,1,1010150.0,2006-02-06,2027-06-30
915,Akpoguma,Svincolato,Svincolato,Frosinone,3,Svincolato,{Dc},0,1,160241.0,1995-04-19,2028-06-30
912,Comert,Svincolato,Svincolato,Torino,4,Svincolato,{Dc},0,1,298583.0,1998-02-04,2028-06-30
916,Cittadini,Svincolato,Svincolato,Frosinone,4,Svincolato,{Dc},0,1,616628.0,2002-04-18,2027-06-30
918,Kofler,Svincolato,Svincolato,Cagliari,5,Svincolato,{Dc},0,1,1039342.0,2005-04-26,2027-06-30
914,Correia T.,Svincolato,Svincolato,Venezia,5,Svincolato,"{Dd,Ds,E}",0,1,367466.0,1999-03-09,2027-06-30
1016,Leysen F.,Svincolato,Svincolato,Sassuolo,7,Svincolato,"{Ds,Dc}",0,1,660746.0,2003-07-09,2027-06-30
1018,Badiashile,Svincolato,Svincolato,Napoli,7,Svincolato,{Dc},0,1,463603.0,2001-03-26,2027-06-30
1023,Grabara,CyberDucks,CyberDucks,Juventus,1,Indeterminato,{Por},1,1,346551.0,1999-01-08,2027-06-30
959,Camara A.,Svincolato,Svincolato,Udinese,1,Svincolato,"{M,C}",0,0,,,
898,Mlacic,Svincolato,Svincolato,Udinese,1,Svincolato,{Dc},0,0,,,
56,Ratkov,Svincolato,FC Pontos,Lazio,8,Prestito Reale,{Pc},14,0,,,
1013,Comotto,Svincolato,Svincolato,Milan,1,Svincolato,"{M,C}",0,1,1058363.0,2008-04-25,2031-06-30
1034,Perri,FC Sovescio,FC Sovescio,Torino,9,Indeterminato,{Por},13,1,352041.0,1997-12-10,2027-06-30
1027,Fatah,Svincolato,Svincolato,Lecce,5,Svincolato,"{W,A}",0,1,931841.0,2004-02-19,2029-06-30
908,Ramos G.,Metodo Monchi FC,Metodo Monchi FC,Milan,27,Indeterminato,{Pc},111,1,550550.0,2001-06-20,2031-06-30
1038,Massolin,Svincolato,Svincolato,Cagliari,4,Svincolato,"{C,T}",0,1,915849.0,2002-09-20,2027-06-30
973,Oulai,Svincolato,Svincolato,Fiorentina,7,Svincolato,"{M,C}",0,1,1279526.0,2006-04-06,
971,Unai Gomez,Svincolato,Svincolato,Udinese,6,Svincolato,{T},0,1,834752.0,2003-05-25,2031-06-30
1043,Sarr P.,Sborada,Sborada,Juventus,8,Indeterminato,"{M,C}",6,1,568693.0,2002-09-14,2027-06-30
1040,Hutchinson,Svincolato,Svincolato,Milan,7,Svincolato,"{W,A}",0,1,741238.0,2003-10-30,2027-06-30
1015,Jones C.,Metodo Monchi FC,Metodo Monchi FC,Inter,12,Indeterminato,{C},37,1,433188.0,2001-01-30,2031-06-30
992,Mastantuono,Svincolato,Svincolato,Fiorentina,11,Svincolato,"{W,T}",0,1,1057316.0,2007-08-14,2027-06-30
261,Modric,FC Sovescio,FC Sovescio,Milan,13,Indeterminato,"{M,C}",9,1,27992.0,1985-09-09,2027-06-30
1046,Sugawara,Svincolato,Svincolato,Cagliari,6,Svincolato,"{Dd,E}",0,1,405385.0,2000-06-28,2027-06-30
924,Calvani,Svincolato,Svincolato,Frosinone,5,Svincolato,{Dc},0,1,745778.0,2004-01-12,2027-06-30
384,Kristensen T.,CyberDucks,CyberDucks,Atalanta,7,Indeterminato,"{Dd,Dc}",2,1,698259.0,2002-01-17,2027-06-30
947,Kaiki,ZeroDayz FC,ZeroDayz FC,Como,6,Indeterminato,"{Ds,E}",22,1,879217.0,2003-03-08,2027-06-30
951,Viery,Svincolato,Svincolato,Fiorentina,7,Svincolato,"{Ds,Dc}",0,1,950393.0,2005-01-02,2031-06-30
950,Monterisi,Al-Colizzati,Al-Colizzati,Frosinone,6,Indeterminato,{Dc},1,1,550116.0,2001-12-19,2027-06-30
920,Oyono A.,Svincolato,Svincolato,Frosinone,6,Svincolato,"{Dd,E}",0,1,804812.0,2001-04-12,2027-06-30
949,Mangas,CyberDucks,CyberDucks,Monza,7,Indeterminato,"{Ds,E}",1,1,314944.0,1998-03-19,2027-06-30
416,Delprato,Metodo Monchi FC,Metodo Monchi FC,Parma,8,Indeterminato,"{B,Dd,E}",0,1,392956.0,1999-11-10,2027-06-30
835,Grandi,Svincolato,Svincolato,Venezia,1,Svincolato,{Por},0,1,155038.0,1992-10-12,2028-06-30
940,Pozzi,Svincolato,Svincolato,Venezia,1,Svincolato,{Por},0,1,494805.0,2000-12-14,2030-06-30
1003,Pisseri,Svincolato,Svincolato,Frosinone,1,Svincolato,{Por},0,1,168444.0,1991-11-21,
1031,Mrozek,Svincolato,Svincolato,Udinese,1,Svincolato,{Por},0,1,345452.0,2000-02-23,2030-06-30
1044,Ghidotti,Svincolato,Svincolato,Parma,1,Svincolato,{Por},0,1,357983.0,2000-03-19,
938,Renzetti,Svincolato,Svincolato,Lazio,1,Svincolato,{Por},0,1,918957.0,2006-06-09,2027-06-30
939,Strajnar,Svincolato,Svincolato,Monza,1,Svincolato,{Por},0,1,1009618.0,2007-08-16,2029-06-30
412,Zappacosta,ZeroDayz FC,ZeroDayz FC,Atalanta,8,Indeterminato,"{Dd,E}",5,1,173859.0,1992-06-11,2028-06-30
948,Doekhi,Sborada,Sborada,Lazio,8,Indeterminato,{Dc},15,1,387047.0,1998-06-30,2029-06-30
953,Stones,FC Pontos,FC Pontos,Inter,12,Indeterminato,{Dc},30,1,186590.0,1994-05-28,2028-06-30
998,Molina N.,Diaolo Porco,Diaolo Porco,Roma,18,Indeterminato,{E},37,1,424042.0,1998-04-06,2030-06-30
553,De Marzi,Svincolato,Svincolato,Roma,1,Svincolato,{Por},0,1,942004.0,2007-04-18,2027-06-30
941,Mascardi,Svincolato,Svincolato,Torino,1,Svincolato,{Por},0,1,981998.0,2006-09-26,2031-06-30
357,Pedersen,Svincolato,Svincolato,Torino,5,Svincolato,"{Dd,E}",1,0,,,
395,Zappa,Svincolato,Diaolo Porco,Cagliari,4,Prestito Reale,"{B,Dd,E}",4,0,,,
1048,Goncalves P.,Svincolato,Svincolato,Fiorentina,12,Svincolato,"{W,T}",0,1,426620.0,1998-06-28,2027-06-30
702,Petagna,Svincolato,Svincolato,Monza,2,Svincolato,{Pc},0,0,,,
268,Paz N.,FC Sovescio,FC Sovescio,Como,27,Indeterminato,"{T,A}",0,1,948294.0,2004-09-08,2028-06-30
994,Aurelio,Svincolato,Svincolato,Cagliari,2,Svincolato,"{Ds,E}",0,1,457444.0,2000-03-22,2029-06-30
1014,Cinquegrano,Svincolato,Svincolato,Sassuolo,2,Svincolato,"{Dd,E}",0,1,919669.0,2004-06-25,2027-06-30
1049,Drameh,Svincolato,Svincolato,Genoa,4,Svincolato,"{Dd,Ds,E}",0,1,531957.0,2001-12-08,
685,Azzi,Svincolato,Svincolato,Cremonese,0,Svincolato,"{Ds,E}",0,0,,,
468,Toniolo,Svincolato,Svincolato,Verona,1,Svincolato,{Por},0,0,,,
552,Sverko,Svincolato,Svincolato,Venezia,3,Svincolato,"{Ds,Dc}",0,1,282169.0,1998-02-04,2028-06-30
344,Ehizibue,Svincolato,Svincolato,Genoa,4,Svincolato,"{Dd,E}",0,1,,,
423,Kossounou,Al-Colizzati,Al-Colizzati,Atalanta,4,Indeterminato,"{Dd,Dc}",11,1,644771.0,2001-01-04,2029-06-30
1045,Zeballos,Svincolato,Svincolato,Monza,6,Svincolato,{A},0,1,661132.0,2002-04-24,2030-06-30
963,Rrahmani Al.,Svincolato,Svincolato,Venezia,6,Svincolato,{Pc},0,1,903706.0,2000-08-31,2029-06-30
1052,Beto,Svincolato,Svincolato,Fiorentina,14,Svincolato,{Pc},0,1,595809.0,1998-01-31,2030-06-30
995,Kevin Carlos,Svincolato,Svincolato,Cagliari,11,Svincolato,{Pc},0,1,718201.0,2001-04-10,2027-06-30
962,Adams A.,Svincolato,Svincolato,Venezia,10,Svincolato,{Pc},0,1,607034.0,2000-01-29,2030-06-30
952,Valdepenas,Svincolato,Svincolato,Fiorentina,6,Svincolato,"{Ds,Dc}",0,1,1186245.0,2006-10-20,
370,Doig,Svincolato,Svincolato,Sassuolo,5,Svincolato,"{Ds,E}",1,1,567129.0,2002-05-18,2028-06-30
1047,Patterson,Svincolato,Svincolato,Torino,5,Svincolato,"{Dd,E}",0,1,424015.0,2001-10-16,2029-06-30
1041,Caleta-Car,Svincolato,Svincolato,Sassuolo,6,Svincolato,{Dc},0,1,238266.0,1996-09-17,2028-06-30
385,Ismajli,Metodo Monchi FC,Metodo Monchi FC,Torino,7,Indeterminato,{Dc},2,1,435228.0,1996-09-30,2027-06-30
397,Bellanova,ZeroDayz FC,ZeroDayz FC,Atalanta,6,Indeterminato,"{Dd,E}",28,1,357992.0,2000-05-17,2029-06-30
954,Koulierakis,ZeroDayz FC,ZeroDayz FC,Roma,8,Indeterminato,{Dc},18,1,669380.0,2003-11-28,2031-06-30
990,Couto,Diablitos FC,Diablitos FC,Como,8,Indeterminato,"{Dd,E}",31,1,627228.0,2002-06-03,2027-06-30
398,Hien,CyberDucks,CyberDucks,Atalanta,7,Indeterminato,{Dc},5,1,503075.0,1999-01-13,2028-06-30
919,Bracaglia,Svincolato,Svincolato,Frosinone,7,Svincolato,"{Ds,Dc}",0,1,571600.0,2003-07-19,2028-06-30
396,Lucumì,FC Sovescio,FC Sovescio,Juventus,7,Indeterminato,{Dc},9,1,413565.0,1998-06-26,2030-06-30
1051,Woltemade,Svincolato,Svincolato,Juventus,23,Svincolato,{A},0,1,455661.0,2002-02-14,2027-06-30
893,Santos A.,FC Pontos,FC Pontos,Napoli,15,Indeterminato,"{W,A}",2,1,830365.0,2002-09-27,2030-06-30
130,Kaba,Svincolato,Svincolato,Lecce,1,Svincolato,"{M,C}",0,1,911328.0,2001-10-27,2027-06-30
409,Zortea,Al-Colizzati,Al-Colizzati,Bologna,7,Indeterminato,"{Dd,E}",16,1,392966.0,1999-06-19,2029-06-30
696,Melegoni,Svincolato,Svincolato,Genoa,0,Svincolato,"{C,T}",0,0,,,
411,Mina,FC Pontos,FC Pontos,Cagliari,7,Indeterminato,{Dc},9,1,289446.0,1994-09-23,2028-06-30
955,Dagasso,Svincolato,Svincolato,Venezia,1,Svincolato,{C},0,1,744621.0,2004-04-01,2030-06-30
957,Chakvetadze,Svincolato,Svincolato,Udinese,2,Svincolato,"{W,T}",0,1,412616.0,1999-08-29,2030-06-30
896,Lahdo,Svincolato,Svincolato,Como,1,Svincolato,"{C,T}",0,1,1231993.0,2007-12-26,2031-06-30
339,Ziolkowski,Diaolo Porco,Diaolo Porco,Monza,1,Primavera,{Dc},0,1,1046867.0,2005-06-05,2027-06-30
529,Isaac,Svincolato,Svincolato,Verona,1,Svincolato,{Pc},0,0,,,
308,Cham,Svincolato,Svincolato,Verona,2,Svincolato,"{Dd,Ds,E}",0,0,,,
404,Gabbia,Diablitos FC,Diablitos FC,Milan,7,Indeterminato,{Dc},3,1,323167.0,1999-10-21,2029-06-30
556,Florenzi,Svincolato,Svincolato,Milan,0,Svincolato,"{Dd,Ds,E}",0,0,,,
334,Van Der Brempt,CyberDucks,CyberDucks,Sassuolo,2,Indeterminato,"{Dd,E}",0,1,490423.0,2002-04-01,2027-06-30
280,Ebosse,Svincolato,Svincolato,Udinese,3,Svincolato,"{Ds,Dc}",0,1,342877.0,1999-03-11,2027-06-30
386,Walukiewicz,FC Sovescio,FC Sovescio,Sassuolo,4,Indeterminato,"{Dd,Dc}",5,1,345458.0,2000-04-05,
958,El Azzouzi A.,Svincolato,Svincolato,Frosinone,1,Svincolato,"{M,C}",0,1,593774.0,2001-05-29,2029-06-30
873,Helland,Svincolato,Svincolato,Bologna,3,Svincolato,"{Dd,Dc}",0,1,1129198.0,2005-04-25,2030-06-30
338,Rodriguez Ju.,Svincolato,Svincolato,Cagliari,5,Svincolato,"{Ds,Dc}",0,1,1228231.0,2005-05-30,2030-06-30
899,Siviero,Svincolato,Svincolato,Torino,1,Svincolato,{Por},0,1,942103.0,2006-11-23,2029-06-30
937,Lolic,Svincolato,Svincolato,Frosinone,1,Svincolato,{Por},0,1,740517.0,2004-05-15,2027-06-30
353,Smolcic I.,Svincolato,Svincolato,Como,4,Svincolato,"{Dd,E}",0,1,571271.0,2000-08-17,2031-06-30
887,Przyborek,Svincolato,Svincolato,Lazio,1,Svincolato,"{W,T}",0,1,1018395.0,2007-01-01,2030-06-30
1053,Fernandez T.,Svincolato,Svincolato,Venezia,2,Svincolato,"{T,A}",0,1,1066206.0,2008-07-15,2027-06-30
956,El Azzouzi O.,Svincolato,Svincolato,Bologna,2,Svincolato,"{M,C}",0,1,531065.0,2001-05-29,2027-06-30
1050,Sanchez Ro.,Svincolato,Svincolato,Como,8,Svincolato,{Por},0,1,403151.0,1997-11-18,2027-06-30
739,Oudin,Svincolato,Svincolato,Lecce,0,Svincolato,"{W,T}",0,0,,,
892,Zaragoza,Svincolato,Svincolato,Roma,4,Svincolato,"{W,A}",10,0,,,
811,Wieteska,Svincolato,Svincolato,Cagliari,0,Svincolato,{Dc},0,0,,,
275,Siebert,Svincolato,Svincolato,Lecce,4,Svincolato,{Dc},0,1,604113.0,2002-04-02,2028-06-30
391,Gallo,FC Sovescio,FC Sovescio,Lecce,6,Indeterminato,"{Ds,E}",2,1,392516.0,2000-01-05,2027-06-30
390,Tomori,Diablitos FC,Diablitos FC,Milan,6,Indeterminato,{Dc},20,1,303254.0,1997-12-19,2027-06-30
401,Idzes,ZeroDayz FC,ZeroDayz FC,Sassuolo,7,Indeterminato,{Dc},1,1,546926.0,2000-06-02,2029-06-30
813,Tessmann,Svincolato,Svincolato,Venezia,0,Svincolato,"{M,C}",0,0,,,
683,Bennacer,Svincolato,Svincolato,Milan,4,Svincolato,"{M,C}",0,0,,,
487,Furlanetto,Svincolato,Svincolato,Lazio,3,Svincolato,{Por},0,0,,,
563,Burnete,Svincolato,Svincolato,Lecce,0,Svincolato,{Pc},0,0,,,
758,Luan Patrick,Svincolato,Svincolato,Verona,0,Svincolato,{Dc},0,0,,,
341,Athekame,Svincolato,CyberDucks,Milan,3,Prestito Reale,"{Dd,E}",0,0,,,
942,Daffara,FC Pontos,FC Pontos,Parma,6,Indeterminato,{Por},1,1,814473.0,2004-12-05,2031-06-30
972,Winks,Svincolato,Svincolato,Cagliari,7,Svincolato,"{M,C}",0,1,249126.0,1996-02-02,2028-06-30
976,Milla,Svincolato,Svincolato,Como,6,Svincolato,"{M,C}",0,1,281989.0,1994-10-07,2029-06-30
964,Geubbels,Al-Colizzati,Al-Colizzati,Lecce,7,Indeterminato,{Pc},4,1,463620.0,2001-08-16,2030-06-30
304,Coulibaly W.,Svincolato,Svincolato,Sassuolo,4,Svincolato,"{Dd,Ds,E}",0,0,,,
1054,Gnonto,Svincolato,Svincolato,Fiorentina,8,Svincolato,"{W,A}",0,1,627626.0,2003-11-05,2027-06-30
547,Success,Svincolato,Svincolato,Udinese,0,Svincolato,{A},0,0,,,
970,Adorante,Svincolato,Svincolato,Venezia,4,Svincolato,{Pc},0,1,364206.0,2000-02-05,2028-06-30
969,Kvernadze,Svincolato,Svincolato,Frosinone,7,Svincolato,"{W,A}",0,1,412758.0,2003-02-07,2028-06-30
991,Robinson J.,Svincolato,Svincolato,Monza,4,Svincolato,{A},0,1,1045124.0,2007-03-15,2027-06-30
256,Odgaard,Sborada,Sborada,Bologna,7,Indeterminato,{T},3,1,345590.0,1999-03-31,2029-06-30
979,Calò,CyberDucks,CyberDucks,Frosinone,9,Indeterminato,"{M,C}",7,1,301235.0,1997-02-05,2029-06-30
975,Romano,Svincolato,Svincolato,Cagliari,8,Svincolato,"{M,C}",0,1,911224.0,2006-06-17,2027-06-30
729,Carboni A.,Svincolato,Svincolato,Monza,4,Svincolato,"{Ds,Dc}",0,1,481834.0,2001-02-04,2029-06-30
980,Koutsoupias,Svincolato,Svincolato,Frosinone,4,Svincolato,{C},0,0,534161.0,2001-05-10,2027-06-30
660,Quagliata,Svincolato,Svincolato,Cremonese,0,Svincolato,"{Ds,E}",0,0,,,
744,Raimondo,Svincolato,Svincolato,Frosinone,8,Svincolato,{Pc},0,1,818888.0,2004-03-18,2027-06-30
795,Kolo Muani,Diablitos FC,Diablitos FC,Juventus,25,Indeterminato,{Pc},133,1,487969.0,1998-12-05,2031-06-30
978,Traorè Hj.,Svincolato,Svincolato,Genoa,4,Svincolato,"{W,T}",0,1,391065.0,2000-02-16,2027-06-30
974,Amondarain,Svincolato,Svincolato,Bologna,6,Svincolato,"{M,C}",0,1,1283311.0,2005-01-06,2031-06-30
977,Meichtry,Svincolato,Svincolato,Genoa,5,Svincolato,"{W,T}",0,1,1172166.0,2005-07-08,2030-06-30
50,Borrelli,Svincolato,Svincolato,Cagliari,3,Svincolato,{Pc},0,1,459988.0,2000-03-10,2029-06-30
903,Mendy P.,Svincolato,Svincolato,Cagliari,4,Svincolato,{Pc},0,1,1371793.0,2007-01-13,2031-06-30
1055,Robinho Junior,Svincolato,Svincolato,Genoa,1,Svincolato,{A},0,1,1355385.0,2007-12-17,2027-06-30
351,Pezzella Giu.,Svincolato,Svincolato,Cremonese,4,Svincolato,"{Ds,E}",8,0,,,
243,Thorsby,Svincolato,Svincolato,Cremonese,12,Svincolato,"{C,T}",0,0,,,
674,Augello,Svincolato,Svincolato,Cagliari,0,Svincolato,"{Ds,E}",0,0,,,
640,Dani Silva,Svincolato,Svincolato,Verona,0,Svincolato,"{M,C}",0,0,,,
558,Alli,Svincolato,Svincolato,Como,0,Svincolato,{T},0,0,,,
782,Pavard,CyberDucks,CyberDucks,Inter,7,Indeterminato,"{Dd,Dc}",36,1,353366.0,1996-03-28,2028-06-30
736,Correa,Svincolato,Svincolato,Inter,0,Svincolato,{A},0,0,,,
400,Heggem,Metodo Monchi FC,Metodo Monchi FC,Bologna,6,Indeterminato,"{Ds,Dc}",4,1,464469.0,1999-01-12,2029-06-30
294,Perez M.,Svincolato,Svincolato,Lecce,1,Svincolato,"{Dd,Dc}",0,0,,,
650,Castagnetti,Svincolato,Svincolato,Cremonese,0,Svincolato,"{M,C}",0,0,,,
425,Tiago Gabriel,Diaolo Porco,Diaolo Porco,Lecce,8,Indeterminato,{Dc},0,1,1112449.0,2004-12-26,2027-06-30
946,Thiam,CyberDucks,CyberDucks,Monza,4,Indeterminato,{Por},1,1,435406.0,1998-03-05,2028-06-30
944,Desplanches,Svincolato,Svincolato,Frosinone,2,Svincolato,{Por},0,1,567465.0,2003-03-11,2027-06-30
943,Happonen,Svincolato,Svincolato,Bologna,1,Svincolato,{Por},0,1,1018026.0,2007-03-13,
697,Bagnolini,Svincolato,Svincolato,Bologna,0,Svincolato,{Por},0,0,,,
960,Ghedjemis,Al-Colizzati,Al-Colizzati,Frosinone,9,Indeterminato,"{W,A}",1,1,888738.0,2002-09-06,2028-06-30
126,Lovric,Diaolo Porco,Diaolo Porco,Verona,3,Indeterminato,{C},4,0,,,
534,Luvumbo,Svincolato,Diablitos FC,Cagliari,3,Prestito Reale,{A},16,0,,,
986,Fitz-Jim,Sborada,Sborada,Torino,6,Indeterminato,"{M,C}",1,1,559333.0,2003-07-05,2029-06-30
897,Bakola,Svincolato,Svincolato,Sassuolo,6,Svincolato,"{C,T}",0,1,1170286.0,2007-11-30,2030-06-30
258,Saelemaekers,Metodo Monchi FC,Metodo Monchi FC,Milan,12,Indeterminato,"{E,W}",7,1,381950.0,1999-06-27,2031-06-30
252,Zielinski,FC Pontos,FC Pontos,Inter,12,Indeterminato,{C},12,1,181136.0,1994-05-20,2028-06-30
329,Marianucci,Svincolato,Svincolato,Napoli,1,Svincolato,{Dc},0,1,814446.0,2004-07-23,2030-06-30
292,Mazzocchi,Svincolato,Svincolato,Venezia,1,Svincolato,"{Dd,Ds,E}",0,1,250153.0,1995-07-27,2027-06-30
318,Rugani,Svincolato,Svincolato,Juventus,1,Svincolato,{Dc},0,1,162959.0,1994-07-29,2028-06-30
360,Veiga D.,Svincolato,Svincolato,Lecce,6,Svincolato,"{Dd,E}",0,1,728485.0,2002-09-25,2027-06-30
448,Coco,FC Sovescio,FC Sovescio,Torino,7,Indeterminato,{Dc},5,1,588426.0,1999-02-09,2029-06-30
367,Bernasconi,FC Pontos,FC Pontos,Atalanta,6,Indeterminato,"{Ds,E}",5,1,708635.0,2003-11-16,2030-06-30
364,Comuzzo,FC Pontos,FC Pontos,Torino,8,Indeterminato,{Dc},0,1,746712.0,2005-02-20,2027-06-30
363,Dodò,ZeroDayz FC,ZeroDayz FC,Fiorentina,9,Indeterminato,"{Dd,E}",16,1,401529.0,1998-11-17,2027-06-30
432,Solet,Al-Colizzati,Al-Colizzati,Udinese,13,Indeterminato,{Dc},3,1,463665.0,2000-02-07,2027-06-30
524,Carnesecchi,Diablitos FC,Diablitos FC,Atalanta,17,Indeterminato,{Por},35,1,459763.0,2000-07-01,2028-06-30
1005,Vicario,CyberDucks,CyberDucks,Juventus,17,Indeterminato,{Por},129,1,286047.0,1996-10-07,2027-06-30
861,Marì,Svincolato,Svincolato,Fiorentina,0,Svincolato,{Dc},6,0,,,
1004,Lontani,Svincolato,Svincolato,Parma,3,Svincolato,{A},0,1,1058366.0,2008-01-18,2030-06-30
965,Lisman,Svincolato,Svincolato,Venezia,1,Svincolato,"{W,A}",0,1,1148082.0,2006-02-20,2030-06-30
961,Lauberbach,Svincolato,Svincolato,Venezia,1,Svincolato,{Pc},0,1,307800.0,1998-02-15,2029-06-30
890,Boga,AC Ciaccati,AC Ciaccati,Juventus,7,Indeterminato,"{W,A}",1,1,216569.0,1997-01-03,2029-06-30
967,Varela G.,Svincolato,Svincolato,Monza,7,Svincolato,{Pc},0,1,931900.0,2005-01-30,2030-06-30
886,Bowie,Svincolato,Svincolato,Sassuolo,8,Svincolato,{Pc},0,1,647280.0,2002-09-21,2027-06-30
