id,squadra_proponente,squadra_destinataria,giocatori_offerti,giocatori_richiesti,crediti_offerti,crediti_richiesti,messaggio,stato,data_proposta,data_risposta,prestito_associato,pick_offerta,pick_richiesta
39,Diaolo Porco,AC Ciaccati,[395],[890],5,0,prestito oneroso con diritto di riscatto di douglas luiz di 5 crediti con diritto fissato a 30 crediti. Se non raggiunge il voto nel 75% delle partite (28 totali) restituiamo i 5 crediti per prestito,annullato,2026-08-11 20:55:13.707777+00:00,,[21],[],[]
40,Diablitos FC,FC Pontos,"[244, 77]",[893],0,25,,rifiutato,2026-08-20 17:47:50.484542+00:00,2026-08-20 19:02:42.396150+00:00,,[],[]
41,Diablitos FC,CyberDucks,[77],[269],35,0,,accettato,2026-08-20 19:04:22.909071+00:00,2026-08-20 19:05:16.973040+00:00,,[],[]
43,Metodo Monchi FC,ZeroDayz FC,"[397, 68, 401]","[455, 233]",10,0,Clausola rivendita Fortini al 15%,accettato,2026-08-22 13:39:07.653687+00:00,2026-08-22 14:11:09.133156+00:00,[24],[],[]
42,Sborada,ZeroDayz FC,[194],[],0,30,,accettato,2026-08-22 10:51:28.575181+00:00,2026-08-22 14:11:21.201565+00:00,,[],[]
44,Diablitos FC,ZeroDayz FC,[],[],1,1,,rifiutato,2026-08-22 14:43:01.099468+00:00,2026-08-22 15:17:44.612564+00:00,[29],[],[]
45,ZeroDayz FC,Diablitos FC,[],[],10,10,ubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborbubewfobwefobovborb,rifiutato,2026-08-22 15:18:58.995394+00:00,2026-08-22 15:19:20.362804+00:00,[30],[],[]
46,ZeroDayz FC,CyberDucks,[],[],1,0,,accettato,2026-08-22 16:52:53.868717+00:00,2026-08-22 16:53:08.036759+00:00,,[],[]
47,ZeroDayz FC,CyberDucks,[],[],0,1,,accettato,2026-08-22 16:53:22.001342+00:00,2026-08-22 16:53:31.423422+00:00,,[],[]
49,Sborada,ZeroDayz FC,[],[],0,0,,accettato,2026-08-31 00:15:20.347405+00:00,2026-08-31 09:12:05.266170+00:00,"[33, 34]",[],[]
48,Diaolo Porco,Metodo Monchi FC,[],[],0,0,"Siamo in difficoltà aiutateci per favore. Se volete aspettiamo la fine del mercato, magari vendono Milinkovic.",annullato,2026-08-24 23:21:55.614531+00:00,,"[31, 32]",[],[]
50,AC Ciaccati,Al-Colizzati,[],[523],0,0,,accettato,2026-09-01 20:22:57.134394+00:00,2026-09-01 22:29:33.717662+00:00,[35],[],[]
51,Diaolo Porco,Metodo Monchi FC,[],[],0,0,,accettato,2026-09-01 21:12:12.103183+00:00,2026-09-01 22:53:32.669946+00:00,"[36, 37]",[],[]
52,Diablitos FC,FC Sovescio,[],[],0,0,,accettato,2026-09-04 17:35:01.523131+00:00,2026-09-04 17:52:56.898953+00:00,"[40, 41]",[],[]
